#! dEb_Eb[f,0]/  dP_P[f,1]/   dth[f,2]/    total_chi2[f,3]/    total_redChi2[f,4]/    total_chi2_elec[f,5]/    total_redChi2_elec[f,6]/    total_chi2_prot[f,7]/    total_redChi2_prot[f,8]/ 
-0.0    0.001    -0.001    18586.7521    978.2501    13257.5962    883.8397    5329.1559    5329.1559
0.0006    -0.002    -0.001    18627.7674    980.4088    6402.34    426.8227    12225.4274    12225.4274
-0.0    0.002    -0.0015    18694.0524    983.8975    14941.1026    996.0735    3752.9498    3752.9498
-0.001    -0.0025    -0.001    18696.5571    984.0293    4970.8488    331.3899    13725.7083    13725.7083
0.0008    -0.003    -0.0005    18806.9656    989.8403    8688.7419    579.2495    10118.2237    10118.2237
-0.001    0.0025    -0.002    18844.4784    991.8147    16984.904    1132.3269    1859.5744    1859.5744
-0.0    0.0    -0.0005    19007.8773    1000.4146    11747.9193    783.1946    7259.958    7259.958
0.0004    -0.001    -0.0015    19087.5441    1004.6076    4528.052    301.8701    14559.4922    14559.4922
0.0006    -0.003    0.001    19105.1674    1005.5351    5826.4779    388.4319    13278.6895    13278.6895
-0.0    0.0    -0.002    19148.8725    1007.8354    2660.1695    177.3446    16488.703    16488.703
-0.001    -0.0025    0.0005    19181.9422    1009.5759    9463.0233    630.8682    9718.9189    9718.9189
0.001    -0.004    0.0015    19216.5169    1011.3956    4139.3302    275.9553    15077.1867    15077.1867
-0.0    0.003    -0.002    19329.7781    1017.3567    16798.4383    1119.8959    2531.3398    2531.3398
-0.0008    -0.0035    0.001    19373.7912    1019.6732    7597.4993    506.5    11776.2919    11776.2919
-0.0006    -0.0035    -0.0005    19528.7978    1027.8315    7526.5788    501.7719    12002.2191    12002.2191
0.001    -0.004    0.0    19625.1387    1032.902    11387.2576    759.1505    8237.8811    8237.8811
-0.0008    -0.0025    -0.001    19829.1556    1043.6398    5544.0009    369.6001    14285.1547    14285.1547
0.0002    -0.002    0.0005    19896.3351    1047.1755    8288.0975    552.5398    11608.2376    11608.2376
0.0008    -0.002    -0.001    19928.7329    1048.8807    7170.4063    478.0271    12758.3266    12758.3266
-0.0    -0.001    0.0    19957.428    1050.3909    10412.0719    694.1381    9545.3561    9545.3561
0.001    0.0025    -0.0015    20011.5853    1053.2413    14843.924    989.5949    5167.6613    5167.6613
0.0002    0.0    -0.002    20186.2958    1062.4366    3065.8777    204.3918    17120.4181    17120.4181
0.001    -0.003    -0.0005    20201.454    1063.2344    9606.9688    640.4646    10594.4852    10594.4852
-0.0002    0.001    -0.001    20253.3971    1065.9683    14545.9607    969.7307    5707.4364    5707.4364
0.001    0.0015    -0.001    20257.9175    1066.2062    13155.1169    877.0078    7102.8006    7102.8006
0.001    0.0035    -0.002    20293.6787    1068.0884    16706.5605    1113.7707    3587.1181    3587.1181
0.0006    -0.001    -0.0015    20294.9867    1068.1572    5145.9576    343.0638    15149.0291    15149.0291
-0.0002    0.002    -0.0015    20377.7239    1072.5118    16317.5908    1087.8394    4060.1331    4060.1331
0.0008    -0.004    0.0015    20415.5473    1074.5025    4676.8917    311.7928    15738.6556    15738.6556
